speaker,utterance
M2,hhh hhh hhh hhh→
M1,what:t they didn't say tha:t in the⌈: (.) thi::ng⌉ [!]
M2,⌊that was weir⌋:d hhh [!] hhh ⌈ hhh hhh hhh ⌉→
M1,⌊publically⌋ distribu⌈ted⌉ [!]
M2,⌊ hhh that hhh ⌋ hhh was hhh wei:::rd [!]
M1,I didn't read tha:t [!]
M2,+≈ ∙hhh⌈hh⌉ .
M1,⌊∙hhh⌋ ⌈well the [UNINTELLIGIBLE] was⌉ +/.
M2,⌊oka:y well let's not⌋ talk about terrorism hhh hhh [!]
M1,+≈ no:::→
M2,⌊ hhh hhh ⌋→
M1,"+"" o::h you know:: if you're going to get pregnant, you have to"
M2,"hhh hh ⌊hhh⌋ hhh hhh hhh hhh hhh hhh hhh hhh hhh hhh hhh ∙hhh, hh"
M1,+≈ °that's not ⁎good⁎°→
M2,hhh hhh ⌈ hhh hhh ⌉→
M1,⌊ did you⌋ see u:::m-
M2,⌊no⌋:: no:→
M1,∙hhh they had this: little sce:ne where the gu::ys::→
M2,+≈ uh huh→
M1,+≈ ∙hhh and then you see this sce:ne in Wa:shington→
M2,⌈ [NOISE] ⌉→
M1,⌊deet deet deet deet deet deet⌉→ hhh voi:ce i:den:ti:fie::d [!]
M2,⌈ hhh hhh hhh hhh ⌉
M1,"⌊voi:ce, num:ber: blah⌋ blo: blo: bla⌈::h⌉"
M2,⌊ hhh ⌋ hhh hhh → ⌈∙hhh⌉→
M1,°you kno:w ⌊so it's⌋°the n+s+a:°listening in° ⌈t ⌉
M2,⌊ hhh ⌋ hhh hhh hhh hhh → (0.4) hhh hhh →
M1,oh he was an n+s+a: guy:↗
M2,"+≈ h:e, well he used to work for them yea:h → ⌈∙hhh (.) ∙hhh⌉→"
M1,⌊what happened to⌋ Linda Lee:↗
M2,∙hhh a:h she just le:f:t [!] she le:ft u:::m:°ph°→ (0.7) ju::st u::m I guess back in Ma::y→
M1,yea:h ↗ so she did her two: yea:rs (then) she left↗
M2,well ⁎she left a little⁎ prematur:ely: hhh even hhh hhh hhh →
M1,+≈ ah hah ↗
