speaker,utterance
B,get the house uh still still in the half unpacked . Like it's .
A,on it's feet . Right .
B,not uh I don't have a n- .
A,Still in boxes [UNINTELLIGIBLE] .
B,I I di- we didn't have closets and so I didn't like uh [BREATH] .
A,Wow .
B,You know how you have to buy closets here . You know they don't come with the house .
A,yeah it's crazy . It's very expensive here als- in I- in Israel .
B,ridi- . Ridiculous . Ridiculous . Like they just . Pieces of junk like .
A,Junk . It's unbeliev- .
B,Pressboard [BREATH] .
A,It's unbelievable .
B,Costs a million dollars .
A,I don't know why furniture is so expensive there . Maybe because it's wood . I don't know .
B,"small market, no, it's it's made out of pressboard what are you"
A,Garbage .
B,i- . It's garbage garbage garba- .
A,Because here garbage furniture co- you pay nothing for it .
B,Because because it's mass produced [BREATH] .
A,It's gar- . Right .
B,Here the sma- market is so small .
A,Well that's what it i- .
B,[LAUGHS] . That uh yeah that you can't produce in the same volume so you know
A,I see .
B,So uh but in any case whatever I g- I I was going to Meah_She'arim [BREATH] .
A,In those little .
B,secondhand stores . Like I did .
A,I know I know . But even those are expensive .
B,[BREATH] I bought one thing there .
A,Even those are expensive .
B,"What ? [BREATH] yeah so I got one for four hundred shekels . That's two hundred dollars, not so eh two hundred Canadian dollars . Not so bad [BREATH] ."
A,mm . mhm .
B,But uh but uh I I at a certain point like I was going so crazy
A,yeah .
B,It's like you know on top of everything else . that I just said I'm going to Tel_Aviv . I went to like the furniture . district and I just . bought a new one and then finished .
A,you just . bought one that was at you paid you thousand sh- .
B,I just feel like daven@s:yid .
A,You paid your thousand shekel and that's it .
B,daven@s:yid . It was It was like seven hundred shekel like by the time all .
A,uhhuh . It was all over . oy .
B,"yeah, yeah . Like by the time it gets here and it's up it'll be seven hundred But uh ."
A,uhhuh .
B,I just like I wrote a hundred shekel deposit and I have to r- like I'll daven@s:yid until the ne- +/.
A,[UNINTELLIGIBLE] .
B,"+, [BREATH] for the next few days that [LAUGHS] [=! laughing] money [BREATH] ."
A,uhhuh . uhhuh .
B,So um .
A,How's how's how's um . ho- ho- ho- is Danny having any hazlachah@s:heb at all in th- in
B,He's having a very very hard time .
A,Very har- .
B,Very hard time [BREATH] Because um . Well like . [BREATH] I don't know it's uh I don't if it's like funds or it's a Like he is .
A,Is it that he doesn't have a viable product or he d- or he doesn't
B,I think he has viable product eh there's a few things [BREATH] I
A,mhm . mhm .
B,um and I think that like from the beginning if he had had a person [BREATH] . then they would have been okay but .
A,Right .
B,like the truth is is that all the people that worked with them
A,mhm . You mean the sort of [UNINTELLIGIBLE] you mean [UNINTELLIGIBLE] not .
B,You know cre- yeah active creative and all that but not like the
A,But not practical as far as the . Well may- eh may- maybe k'dai@s:heb to hire a money minded guy for
B,aggre- .
A,So you know what I mean ?
B,yeah so the problem is though that .
A,As opposed to as opposed to [UNINTELLIGIBLE] .
B,they're so beyond like you know they're so beyond it financially
A,mhm .
B,So um .
A,Well he'll have to he'll have to so to speak um raise his own I mean .
B,[BREATH] Well that's what's yeah that's what's happening but it's
A,[UNINTELLIGIBLE] . Right .
B,What yeah th- a little bit comes in here a little bit comes in
A,mm .
B,But uh like in a_lot_of the thi- the people that you know we
A,mhm .
B,They like promise and then people don't follow through and <you
A,Sure . You always have to f- follow up is one of the things you know .
B,yeah no but like even when you follow up and then they say well you And [BREATH] you know like thanks a_lot . Like .
A,mm . [UNINTELLIGIBLE] .
B,[BREATH] .
A,Right .
B,And and and yeah well we'd like to you know start a project . in a few months from now [LAUGHS] Like [BREATH] So in the meantime and so the lo- [LIPSMACK] .
A,mhm .
B,a_lot_of staff have left and and so he's there on his own with all
A,uhhuh so so it's a nightmare .
B,Very very very diff- . [BREATH] It was very difficult . So he's he's struggling like crazy . [BREATH] .
A,Basically . [UNINTELLIGIBLE] .
B,And uh you know then on top of it he's like he's in the middle of
A,Right so that .
B,We thought that it was every half hour . We're right near Kiryat Sefer so like everybody's telling us that
A,[UNINTELLIGIBLE] .
B,being more and more service but it's like every half hour during But [BREATH] .
A,[UNINTELLIGIBLE] .
B,for like three for an hour or two at a time like but you know that
A,There's no bus so it can be real pain .
B,So yeah and then like until you get . the the bus goes through Kiryat Sefer and then it goes into Geula . Like until you get into Yerushalayim it's like an hour .
A,Right so .
B,Not forty minutes .
A,So it's a_lot_of time .
B,A- and then yeah . And then like if you're well Danny doesn't have to g- the truth is But um .
A,Right that's [UNINTELLIGIBLE] . It's only a five minute walk .
B,But for me like it's like to get from Har_Nof after that .
A,Pain . You have to take [UNINTELLIGIBLE] that bus whatever .
B,Pain in the neck . It's like an hour and a half you know just .
A,uhhuh .
B,So uh so that's a real and then you also have to go and walk into Like it's also a walk . Like a fifteen twenty minute walk in the blistering sun [BREATH] . So um .
A,So it's not easy . As far as that goes you mean commuting goes it's really not ea- .
B,commuting goes it's not easy . Like now I'm trying to get uh [BREATH] it's also the beginning you
A,"yeah, I mean I guess you're going to f- once your life will take on it'll b- e- things will get easier because ."
B,Well you have to what you have to do is you have to be in the know
A,Who goes rides and this and that r- .
B,[BREATH] tramps and all that . yeah so I just found out a a ride that goes at like seven ten in
A,mhm .
B,So you know and Danny's found something like three times a week uh
A,uhhuh .
B,I think with time a_lot_of these things would .
A,With time things a_lot_of you'll be able to iron out some of the
B,Right right . It's just this .
A,So to speak .
B,Just uh you know until then it's like a it's .
A,mhm .
B,It's crazy a little bit .
A,uhhuh .
B,So uh yeah so then like you know there's a_lot_of things stupid
A,So all the bugs come in .
B,"+, and the hornets and ."
A,And and probably to buy screens costs who knows how much .
B,yeah . Then you h- to make you know you have to make the aluminum for the Like you have to [BREATH] I haven't gotten a coat yet . I'm sort of afraid to .
A,mhm .
B,[BREATH] . But like Danny goes crazy with these things . He hates .
A,0 . He hates bugs .
B,"+, bugs . Whatever you know like [BREATH] ."
A,mm huh .
B,So he bought some screen up in like in the hardware st- . store and just like taped . But you know it keeps on coming out and whatever .
A,Right . [UNINTELLIGIBLE] oh man .
B,Not something [UNINTELLIGIBLE] . And you know so these kind_of and and .
A,All the little logistical things that hopefully with time will get
B,They drive you crazy . We're also in the shfelah@s:heb here . Like we're around w- we're very uh .
A,[UNINTELLIGIBLE] . oh really . So what because th- that means .
B,Humid .
A,"Humid, right ."
B,It's really hot and humid . And um .
A,"You don't have an air conditioner, do you ?"
B,[UNINTELLIGIBLE] That's for sure not . [UNINTELLIGIBLE] Air conditioner is like eight thousand shekel .
A,huh .
B,[BREATH] .
A,Really ?
B,But uh yeah ridicu- .
A,"Well well that makes sense, eight thousand th- what ? Eight thousand shekel . That's u- ."
B,"yeah, that's how much ."
A,"That's four thousand, that's uh three thousand dollars ."
B,Right .
A,American .
B,yeah th- it's they have systems that can go heating or air
A,[BREATH] . yeah we have them here also I'm saying but [BREATH] .
B,But .
A,We can you can you can get here a wall unit for four uh for four
B,Right . Well [UNINTELLIGIBLE] and here everything is raised .
A,[UNINTELLIGIBLE] It hasn't it hasn't gotten there yet . I hear .
B,yeah so well we're g- we're going to get ceiling fans and stuff
A,oh . That's important . I have even here in Lakewood in our in our apartment we have a
B,yeah and it makes a difference huh .
A,Sure it does . We have a a I have an air conditioner too but it's a shvache@s:yid So together with the ceiling fan it cools the place down .
B,[UNINTELLIGIBLE] . Right . Right . So we're going to get .
A,So we had an unbearable summer here . oh you were in Toronto . You know what the summer was like .
B,Right but I've never been in Lakewood is worse see .
A,yeah . Lakewood's worse . yeah .
B,Right .
A,It was really hot .
B,yeah it's humid right ?
A,Very humid . I mean we had days when it was in the high nineties with [UNINTELLIGIBLE] .
B,[SNORT] . So awful .
A,High humidity also .
B,It's funny you know that the fan in in Yerushalayim I never like
A,"yeah but there, I'm telling you, there it does ."
B,The dry air . But like with with wet air .
A,mhm . It really makes a difference .
B,You know the fan really does make a difference .
A,It really makes a difference . It's so [BREATH] . I- i- you know it's the difference between sometimes sleeping at
B,Totally . Totally . Without the fan we couldn't sleep . And then Danny like didn't want the windows open because of the
A,"or or . So, I mean . Because of the bugs oh man ."
B,And then the trisim@s:heb weren't s- closing and so the sun was
A,uhhuh .
B,"e- and we came in the chamsin@s:heb like [GASP] it was awful . The first few days were awful, awful ."
A,It's a nightmare .
B,But uh .
A,uhhuh .
B,yeah we're hav- we're trying so we're trying to get set up with the
A,[LIPSMACK] right .
B,"+, for the fan ."
A,It's hard .
B,You know we're borrowing now we're borrowing a fan and then we have
A,uhhuh .
B,We're borrowing one from the shul@s:heb you know like oh whatever . It's a whole thing [BREATH] .
A,huh . I hear .
B,"So whatever . Until it gets, I I figure not like until the chagim@s:heb it's not"
A,It's not going to be that . uhhuh .
B,It's .
A,[UNINTELLIGIBLE] .
B,It's not going to be together like we're just not .
A,smooth ride anyway .
B,Right .
A,Right . I see .
B,So anyway that's the full +/.
A,yeah .
B,"+, report so now you can uh fill me in on yours ."
A,Well just speaking about a smooth ride I mean . well my I guess o- our little tekel@s:heb is that uh my uh our pot . so [LAUGHS] .
B,oh no [BREATH] .
A,So nah okay that's life .
B,"It's it's gone huh, no ."
A,yeah I mean it's not it's not worth it to fix . Put it that way .
B,It's not recoverable . r- right . So you have to now buy a new one .
A,"yeah . So I'm looking for a new car, yeah ."
B,"So what are you going to do like Shmieler did, or ."
A,"[UNINTELLIGIBLE] . No, no, I don't think so . Shmieler . Shmieler doesn't even have his yet ."
B,sh- .
A,He didn't get the car yet even .
B,What happened ?
A,It's just uh ti- logistical problems also . It's not so simple and uh . America and Canada and insurance and [BREATH] . all the different laws it's eh you know .
B,<it's no> [?] .
A,I don't know he's being uh he's uh it's mesubach@s:heb very Put it that w- .
B,oy [BREATH] .
A,So he didn't realize how how much it would be . He he hopes to get it one of these weeks . Hopefully before Rosh Hashanah .
B,[LIPSMACK] .
A,But uh .
B,So what is he doing ? Does he have ah is he .
A,yeah he has his his old car still .
B,His old car is still running .
A,"Still running . yeah, yeah . He's doing better than me . I'm on two feet ."
B,Really .
A,Like here it's diffi- it's really hard to not to have a car . It's not the same .
B,"To function without a car, sure ."
A,"Because there's no public transportation really, and it ."
B,Right . oy_va_voy@s:yid [BREATH] So what are you doing ? Are you getting lifts ?
A,So I'm looking for a used car and I'm shnurring@s:yid lifts and I And uh and I walk a_lot .
B,Right and ho- and how d- . and how does uh uh Tova get around ?
A,Tova gets rides to work or else she gets a . or else she gets . uh she takes a bus . instead of going shopping we order .
B,She orders stuff .
A,"we order from the most more expensive pl- you know, y- y- you you"
B,Right . You . So how l- how long ago did this happen ?
A,It's uh three about three weeks ago . uh pi- [LIPSMACK] .
B,oh man [BREATH] .
A,I mean I could buy a just any car but I'm I'm you know it's not
B,e- yeah without really .
A,[UNINTELLIGIBLE] I'm .
B,putting your money where .
A,the . do research and uh I mean I'm buying of course secondhand . It's still a few thou- it's still a few thousa- I I have to get
B,But you want a good . second . Right . Ri- .
A,So it a can't be just a a junk a piece of junk .
