speaker,utterance
M2,[UNINTELLIGIBLE]
M1,They didn't say that in the thing.
M2,That was weird hhh hhh hhh.
M1,publicly distributed
M2,Weird was it.
M1,I didn't read that.
M2,laughed.
M1,"the well, the unintelligible was."
M2,"Okay, let's not talk about terrorism."
M1,no: one
M2,[UNINTELLIGIBLE]
M1,"You know if you're going to get pregnant, you have to."
M2,"[UNINTELLIGIBLE], [UNINTELLIGIBLE]"
M1,that's not good.
M2,[UNINTELLIGIBLE]
M1,saw you um-
M2,No: (slow)
M1,they had this little scene where the guys.
M2,yes
M1,you see this scene in Washington.
M2,Silence
M1,voice identified identity [!] (deet deet deet deet deet)
M2,[UNINTELLIGIBLE]
M1,"voice, number: blah blo blo blah-ha-ha"
M2,[UNINTELLIGIBLE] [UNINTELLIGIBLE] [UNINTELLIGIBLE] [LAUGH]
M1,you know so it's the nonsense listening in.
M2,"worked for them, huh? (unclear continuation)"
M1,He was a nice guy.
M2,"he, well, he used to work for them, yeah."
M1,What happened to Linda Lee?
M2,"She just left, um, I guess back in May."
M1,"she did her two years, then she left."
M2,"she left a little prematurely, huh, huh, huh, huh."
M1,ah hah laughed
M2,"She was unhappy with her advisor, and she ended up not being too happy."
M1,I saw what a surprise.
M2,"um, no, she got married. And, um, and they got married in March."
M1,"laughed ah, ah hah"
M2,she was sort of eager to like leave and.
M1,yes (hiccup)
M2,live with her husband and [UNINTELLIGIBLE] um.
M1,"I knew well, I guess her husband wasn't from Pittsburgh."
M2,She also just.
M1,correct
M2,it's not the same guy
M1,no (heading up)
M2,She actually met him right at the end of graduate school.
M1,boy [exclamation mark]
M2,"she's at the door now, hi. It's actually our upstairs neighbor. Yes, she met him recently."
M1,"ah, ha-ha."
M2,"She just graduated, like, at the end."
M1,they didn't break up.
M2,"they'd only been known to each other like for about two months or so. and, no, they didn't break up."
M1,oh my god
M2,They continued in a long-distance relationship for the whole.
M1,[UNINTELLIGIBLE]
M2,[UNINTELLIGIBLE]
M1,That's something [!]
M2,"they said so, um, yeah, then they got married and she also said that she wasn't all happy."
M1,"Yes, well"
M2,"she started talking about things that rang a bell like every week before going to the meeting with her. Every time she told her, her advisor would tell her, and then come back to the meeting next time, her advisor said, [UNINTELLIGIBLE], who I still won't name in case this is being taped."
M1,[UNINTELLIGIBLE] hhh hhh [UNINTELLIGIBLE]
M2,psychology research [UNINTELLIGIBLE] (laughter) hhh hhh hhh
M1,[UNINTELLIGIBLE]
M2,"but I um, but [something unintelligible]."
M1,that may be publicly distributed
M2,you would have forgotten what she asked her to do the previous week and you know.
M1,"yes, then if they why didn't you do this."
M2,everything was always harshly critical
M1,yes
M2,"and so, she wasn't very happy"
M1,this and it everything other things (is) well what do you mean is this better or is this better?
M2,[UNINTELLIGIBLE]
M1,consider all the possibilities and why don't you.
M2,[UNINTELLIGIBLE]
M1,write the repo then
M2,[UNINTELLIGIBLE] hhh [UNINTELLIGIBLE] hhh
M1,"she says - we'll, you know in the report you said this was better."
M2,[UNINTELLIGIBLE]
M1,point of this is like well the whole thing
M2,[UNINTELLIGIBLE] . [UNINTELLIGIBLE] [UNINTELLIGIBLE]
M1,thought you were supposed to do what you: thought [UNINTELLIGIBLE] [smiling voice].
M2,[UNINTELLIGIBLE]
M1,"already knew what I thought, so why did I have to write this out."
M2,Unintelligible (due to repetitive 'hhh' sounds)
M1,"you know, yeah."
M2,[UNINTELLIGIBLE] (laughter)
M1,So you want to hear what my job is.
M2,yes I do desperately (0.2) hhh
M1,okay I have a six-month contract.
M2,"ah, ha-ha."
M1,"Like, I went to this place and I said, okay, I don't want this, it's like Bell Corp basically."
M2,yes:h
M1,"knowing fully well, I wanted to do something with HTI, but I didn't know what HTI was."
M2,[UNINTELLIGIBLE]
M1,"they pegged me as a user, as a user interface designer."
M2,yes (slightly elongated)
M1,"you knew, so I was thinking like, h + t + i:: including like you know, prototype testing where you go out and you test."
M2,sure yea
M1,"like you know, assessing users needs where you collect a lot of survey information and you analyze it with SPSS or whatever fh."
M2,right: yeah
M1,"No
[UNINTELLIGIBLE]"
M2,there's a there's a leash
M1,No noise
M2,"Noo, no: noo."
M1,interaction face deserved [NOISE]
M2,okay (unintelligible sound)
M1,"The guy who designs the interface and now I'm working in a group, there are like half a dozen people."
M2,uh-huh
M1,there's a man and there are two guys who go out and they want to know what it is that the users want.
M2,right
M1,"they do one of the things, they show the video to the people, and they had the thing that the Republicans use."
M2,laughed ah ha
M1,people turn it into a joke when Reagan says something stupid.
M2,"right, yeah yeah that little know, yeah"
M1,they and so they cut out all the disapproved
M2,yes
M1,that's what they use
M2,wow
M1,They use that.
M2,Who are they doing the software for?
M1,Are doing the soft a Bell Northern
M2,Yes
M1,This is the main competitor of ATT for:
M2,Okay
M1,stuff
M2,Okay
M1,they also design telephones because you know what they do - they make people buy telephones that you need all this extra stuff.
M2,hm
M1,"the people buy the telephones, so then the telephone company says we have to buy all"
M2,[silence]
M1,process the bandwidth wide.
M2,[UNINTELLIGIBLE]
M1,They have to buy more switches and that's where they make
M2,right
M1,they have a really cool telephone that's coming out now.
M2,"It's got a little screen on it. (Mmm, yes.)"
M1,"you can and you can do it, they have it, people have it in there."
M2,"yes, mm-hm (affirmative sound)"
M1,"has a long screen. It's about, like, eight rows by sixty columns or twenty-four columns by some thing."
M2,that's not bad
M1,"and you can like, write and it'll say when they called. then they [can] leave, they can leave a little you know (where) you can hear the voice mail and- it can do telephone banking."
M2,wow
M1,"and all sorts of movies, whatever you want."
M2,"yes, umm (or something similar)"
M1,"So that's their new thing, that they're coming out to make people buy more switches."
M2,yeah huh huh huh huh huh huh [laughing] huh huh huh [UNINTELLIGIBLE] huh huh huh
M1,"that's one of the things they have and they also have this - Pennsylvania thing, this is the University of Pennsylvania."
M2,what's up
M1,"University of Pennsylvania this phone stuff, this phone recording."
M2,"oh yes, yes."
M1,"they're the guys and it's William Labov, if you might be familiar with him."
M2,oh sure [no exclamation mark]
M1,yes
M2,yes
M1,"He's the one who worked with them, the guys in Montreal, for and some other guys. I think there were also some in Quebec City. [STATIC]"
M2,ah hah looked up
M1,"to develop, static for a second, unintelligible user in, uh, uh, to use independent speaker, independently, speech recognition software."
M2,Wow.
M1,"This: and it seems I think that this, this. Stuff that they're recording now is probably for that program that they're working with."
M2,"right, right"
M1,it's probably a continuation of that
M2,Labor is the same guy who did the cups.
