speaker,utterance,relational_score,info_score
MA,Hello (ascending),3,1
SON,Hello ma (arrow ignored),3,1
MA,"Mazel tov, yeah.",3,2
SON,Mazel tov (congratulations),3,2
MA,Last night was the Vortex.,3,3
SON,"[UNINTELLIGIBLE], [UNINTELLIGIBLE].",2,1
MA,Wednesday night is the date.,2,3
SON,"I'm unable to provide the cleaned sentence since there is no noisy text provided in the question. Here is an example of how the cleaning process works with a noisy input:

Noisy: ""∙hhh they had this: little sce:ne where the gu::ys::→""
Clean: they had this little scene where the guys.",3,3
MA,you could come in,3,2
SON,"I have to speak to Tatie, because I have a ride and he told me that.",3,4
MA,uh-huh,2,1
SON,"we'll pass by Monroe, we could pick up Esther.",3,4
MA,"okay, one second",3,2
SON,That's what I'll ask him.,3,2
MA,Ephraim [raising his pitch]: Upward.,2,2
EPH,Yes,3,2
MA,I can't hear,2,2
EPH,Oh (exclusion),2,1
MA,[NOISE] → Noise was present in the conversation.,2,1
EPH,"Hello, Natanel.",3,1
SON,yes (moving up),3,2
EPH,"mazel tov, mazel tov.",4,2
SON,Mazel tov.,3,1
EPH,Unintelligible [exclamation mark],2,1
SON,That's true.,3,2
EPH,"His name is Joseph, laugh, it's Shalom Aleichem.",3,4
SON,what,2,2
EPH,"Mazel tov, mazel tov.",3,1
SON,Mazeh tow (Congratulations),3,2
EPH,coming for the Vort (arrow removed),3,3
SON,"you, are Yiddish Hashem",3,1
EPH,"I'm your God alright, I'll see you later. Who are you staying with?",2,2
SON,what: was that: upward?,2,2
EPH,You staying by who in Lakewood.,3,3
SON,I'm not in Lakewood,2,2
EPH,"yes, you",2,1
SON,camp,2,3
EPH,"In the camp yeshiva, yeah... Alright, I'll see you later, I'll speak to you then.",3,2
SON,yes,3,1
EPH,"don't forget your hat, going in with Yoel.",3,3
SON,you: yeah.,2,2
EPH,What's happening Mazel tov.,3,4
SON,Mazel tov.,3,1
EPH,Everything's okay.,3,2
SON,Baruch ha-Shem (Bless the name),3,2
EPH,You said I I remember you telling me when to call you. You called then.,3,3
SON,"I knew you were probably getting ready, so you're home.",3,3
EPH,you asked what's up,3,2
SON,Baruch Hashem (as),3,1
EPH,Everything's good in camp.,3,2
SON,Great,3,1
EPH,you learning [UNINTELLIGIBLE],3,2
SON,Good.,3,2
EPH,learning is good [exclamation mark].,3,3
SON,you,3,2
EPH,you got any of my letters,3,3
SON,what: went up,2,2
EPH,you get my sun tan lotion,3,3
SON,No.,1,1
EPH,No: [exclamation mark] upward arrow,2,1
SON,No.,2,1
EPH,"I put it by Reich, probably didn't see it. Left it hanging on his door because he wasn't home. I wanted to bring it to him but he didn't give it to me.",3,4
SON,"he went into the city yesterday, umm, two days ago.",2,2
EPH,who went,2,2
SON,rich,2,1
EPH,he's coming back,3,3
SON,I don't know if he probably won't come back here.,2,2
EPH,"I'll find out what happened, I'll have to call him.",3,3
SON,okay,2,1
EPH,I'll find out what's going on there.,3,3
SON,Baruch Hashem,2,1
EPH,you're going to be able to come home.,3,4
SON,I got a rabbi's going in.,2,2
EPH,yes,2,2
SON,tomorrow at one o'clock,3,4
EPH,uh huh huh → (Affirmative sounds),3,1
SON,And I asked him if he has room.,3,3
EPH,yes (forward arrow removed),2,2
SON,he said he's going to have a 15-year-old girl in the back.,2,4
EPH,"you, ah went",2,2
SON,"it's up to you, if you want it, if you don't want that I.",3,3
EPH,"It's no problem, just she will be there.",3,3
SON,what,2,2
EPH,She's going to be there.,3,3
SON,correct,3,2
EPH,You put epissas a bag in the middle and that's all.,2,3
SON,"oh but and then and I asked him, Esther asked if I",3,2
EPH,yes,2,2
SON,He said he could pick her up if she waits like on,3,2
EPH,uh-huh,2,1
SON,she could sit in between the girl and me,3,3
EPH,"Right, uh-huh. I don't know how.",2,2
SON,I have to call Esther now,2,2
EPH,"""how""",2,2
SON,I have to call Esther now,2,3
EPH,"she waited on the road, I mean",3,2
SON,"her calling card number, I'll call Esther now",2,4
EPH,what calling card number (arrow up),2,2
SON,Esther's calling card,3,3
EPH,what do you mean Esther doesn't have a calling (original question not addressed to Esther),2,2
SON,"oh yeah, whatever, we could call a specific time.",2,2
EPH,I don't know what you mean.,2,2
SON,she told me yesterday you sent her a calling card,3,3
EPH,"I sent Esther a calling card, but she has the number, I don't know.",3,3
SON,silent [UNINTELLIGIBLE],2,1
EPH,What do you need it for,3,3
SON,want to call Esther today,3,3
EPH,you want to call on her card,2,3
SON,Yes,2,2
EPH,"Let me see, maybe I wrote down the number here. You have a pen.",3,3
SON,I don't know I have her telephone number.,3,3
EPH,You need a whole bunch of numbers. I understand.,2,2
SON,Oh.,2,1
EPH,you have a pen,2,3
SON,got one minute,2,2
