turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words,kept_reason,source_rows
0,5de79e713cf27970edc23950,3.26,170.04,Yeah. With you? All right. Yeah. Yeah. This is another one. Yeah. Yeah. Yeah. Yes. Yeah. Yeah. Yeah. Just with that. Yeah. Mhm. Yeah. Hello? Hello? Oh. Mhm. But yeah. Yeah. God. Mhm. Yeah. Yeah. Mhm. All right. Yeah. Mhm. Yeah. Yeah.,,166.78,3,False,False,42,heuristic:content,[0]
2,5de79e713cf27970edc23950,173.62,176.36,Okay. Hello?,-0.3400000000000034,2.740000000000009,1,True,True,2,heuristic:content,[2]
3,5cf942378da406000127871f,177.04,179.36,Yeah. Mhm drink.,0.6799999999999784,2.3200000000000216,0,False,False,3,heuristic:content,[3]
5,5cf942378da406000127871f,180.04,181.46,Okay. Uh huh.,-0.710000000000008,1.420000000000016,0,False,True,3,heuristic:content,[5]
6,5de79e713cf27970edc23950,181.84,182.65,how are you?,0.3799999999999954,0.8100000000000023,1,True,False,3,heuristic:content,[6]
7,5cf942378da406000127871f,183.14,184.16,Good. How are you?,0.4899999999999807,1.0200000000000102,1,True,False,4,heuristic:content,[7]
8,5de79e713cf27970edc23950,184.04,188.06,Good. Trying to figure this out.,-0.1200000000000045,4.02000000000001,0,False,True,6,heuristic:content,[8]
10,5de79e713cf27970edc23950,189.94,194.46,I have my headset on because it's the only way I know that microphone will work.,0.8799999999999955,4.52000000000001,0,False,False,17,heuristic:content,[10]
11,5cf942378da406000127871f,194.44,196.46,All right. What?,-0.0200000000000102,2.0200000000000102,1,True,True,3,heuristic:content,[11]
14,5de79e713cf27970edc23950,197.08,197.95,my name's christa.,-0.1799999999999784,0.8699999999999761,0,False,True,4,heuristic:content,[14]
16,5de79e713cf27970edc23950,198.74,200.36,Yeah. Hi.,-0.5199999999999818,1.6200000000000043,0,False,True,2,heuristic:short-content,[16]
17,5cf942378da406000127871f,199.74,206.85,"Well, there you go. All right. So now what do we do?",-0.6200000000000045,7.109999999999985,1,True,True,12,heuristic:content,[17]
18,5de79e713cf27970edc23950,206.54,211.25,I guess talk like we're strangers. Which we are. Where do you live?,-0.3100000000000023,3.740000000000009,0,False,True,14,heuristic:content,"[18, 20]"
21,5cf942378da406000127871f,211.74,213.26,"Well, I'm in new york city.",0.4900000000000091,1.5199999999999818,0,False,False,7,heuristic:content,[21]
22,5de79e713cf27970edc23950,213.24,216.96,Okay. I'm in uh like an hour from boston.,-0.0199999999999818,3.719999999999999,0,False,True,10,heuristic:content,[22]
23,5cf942378da406000127871f,217.24,218.65,Oh cool.,0.2800000000000011,1.4099999999999966,0,False,False,2,heuristic:short-content,[23]
25,5cf942378da406000127871f,220.04,223.46,I like boston. It's a really pretty city.,0.2999999999999829,1.5400000000000205,0,False,False,9,heuristic:content,"[25, 27]"
28,5de79e713cf27970edc23950,222.94,225.76,"yeah, that's where I grew up and lived most of my life.",-0.5200000000000102,2.819999999999993,0,False,True,13,heuristic:content,[28]
30,5de79e713cf27970edc23950,227.64,230.0,I've only been to new york city like twice.,0.9799999999999898,0.2100000000000079,0,False,False,10,heuristic:short-content,"[30, 32]"
33,5cf942378da406000127871f,230.44,234.46,"Uh No, it's not a good time to visit.",0.4399999999999977,4.02000000000001,0,False,False,10,heuristic:content,[33]
34,5de79e713cf27970edc23950,233.94,236.36,"No, not a good time to visit anywhere.",-0.5200000000000102,2.420000000000016,0,False,True,8,heuristic:content,[34]
35,5cf942378da406000127871f,236.14,238.96,Mm hmm. Mm hmm.,-0.2200000000000272,2.8200000000000216,0,False,True,4,heuristic:content,[35]
36,5de79e713cf27970edc23950,238.84,244.26,So are you home like do you do you work from home or are you not working now,-0.1200000000000045,5.419999999999988,0,False,True,18,heuristic:content,[36]
37,5cf942378da406000127871f,244.34,245.96,I'm not working right now.,0.0800000000000125,1.6200000000000043,0,False,False,6,heuristic:content,[37]
40,5de79e713cf27970edc23950,246.52,248.26,of the pandemic?,-0.0300000000000011,1.739999999999981,1,True,True,3,heuristic:content,[40]
42,5de79e713cf27970edc23950,249.24,251.55,Mm. Crazy.,-0.1099999999999852,2.3100000000000023,0,False,True,2,heuristic:short-content,[42]
46,5de79e713cf27970edc23950,255.24,263.16,"No, I was I was only doing kind of part time stuff anyways and some volunteer things, but it's all it's all over now.",0.4900000000000091,4.829999999999984,0,False,False,26,heuristic:content,"[46, 48, 50]"
51,5cf942378da406000127871f,263.24,268.36,Oh boy. Uh huh. Walk. Okay.,0.079999999999984,1.6200000000000043,0,False,False,6,heuristic:short-content,"[51, 53]"
54,5de79e713cf27970edc23950,268.74,270.06,Do you live with anybody else?,0.3799999999999954,1.3199999999999932,1,True,False,6,heuristic:content,[54]
55,5cf942378da406000127871f,270.64,272.35,I live with my parents.,0.5799999999999841,1.7100000000000364,0,False,False,5,heuristic:content,[55]
56,5de79e713cf27970edc23950,272.24,273.95,Okay. Nice.,-0.1100000000000136,1.7099999999999795,0,False,True,2,heuristic:short-content,[56]
57,5cf942378da406000127871f,273.24,277.16,Yeah. There can be a bit of a handful.,-0.7099999999999795,3.920000000000016,0,False,True,9,heuristic:content,[57]
61,5cf942378da406000127871f,280.24,290.95,My boyfriend lives like an hour and a half and like he lives in another part of your city but like it takes like an hour and a half to get there on public transport.,0.2800000000000295,10.70999999999998,0,False,False,35,heuristic:content,[61]
62,5de79e713cf27970edc23950,290.84,292.16,"Oh, that's tough.",-0.1100000000000136,1.32000000000005,0,False,True,4,heuristic:content,[62]
63,5cf942378da406000127871f,291.54,313.05,Um We've been Skyping because like his farm. Eric has it the worst. Yeah. I'm like afraid if I go over there like because I don't really have it like I am pretty safe and stuff. But like I don't know if I come into contact with someone on the way there. He lives with his parents as well. So like I don't want to infect anyone.,-0.6200000000000045,5.310000000000002,0,False,True,72,heuristic:content,"[63, 65, 67]"
68,5de79e713cf27970edc23950,314.14,345.16,"Yeah, that's tough. I've been thinking how like new relationships and stuff aren't being formed at least in person, you know, like people aren't going on first States and they're not like, you know, just normal life stuff that leads to other life stuff. It's weird. Yeah, my um boyfriend and I lived pretty far apart for like four years out of the relationship. We saw each other very once in a while, so now we're together.",1.089999999999975,7.520000000000039,0,False,False,84,heuristic:content,"[68, 70, 72, 76, 78]"
79,5cf942378da406000127871f,345.54,346.55,"Yeah, that's",0.3799999999999954,1.009999999999991,0,False,False,3,heuristic:content,[79]
84,5de79e713cf27970edc23950,348.44,411.16,"He's still working though. He's a chef at a country club though, so it's actually, there's no sense in it. Like they're just being selfish. Like they're not serving the community. They didn't open up the club to like help people coming home from their essential jobs or anything. It's just basically like rich country club people coming to get their fancy steaks, but they technically serve food, so they were able to open under essential business. Yeah, so that's a little nerve racking him coming back and forth every day. And uh we live in like a condo complex, so it's like It there's probably like 15 buildings and they're all apartments, but like we own ours as a condo. Some people rent one of his co workers in like is in one of the buildings a few down and some there are several people now sick with Covid in that building.",0.8000000000000114,2.009999999999991,0,False,False,165,heuristic:content,"[84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110]"
111,5cf942378da406000127871f,411.04,412.14,Blue crash.,-0.1200000000000045,1.099999999999966,0,False,True,2,heuristic:short-content,[111]
112,5de79e713cf27970edc23950,411.94,419.16,"So like everybody that's not sick, it's quarantined. The first person that went to the hospital didn't make it back, They passed away.",-0.1999999999999886,7.220000000000027,0,False,True,26,heuristic:content,[112]
114,5de79e713cf27970edc23950,420.34,435.46,"It's just crazy. So it's definitely feeling closer like we're knowing more people, like one of his cousins has it, and a couple of co workers, like the father passed away. Somebody else's. Their nephew has it.",-0.0100000000000477,7.400000000000034,0,False,True,41,heuristic:content,"[114, 116, 118, 120, 122]"
123,5cf942378da406000127871f,436.54,437.35,Oh man.,1.080000000000041,0.8100000000000023,0,False,False,2,heuristic:short-content,[123]
124,5de79e713cf27970edc23950,437.34,442.15,But I don't know anybody personally yet with it. Yeah.,-0.0100000000000477,2.220000000000028,0,False,True,11,heuristic:content,"[124, 126]"
127,5cf942378da406000127871f,442.04,448.66,"My parents best friends had it, but I think they had like a very mild case till they survived.",-0.1099999999999568,6.6200000000000045,0,False,True,19,heuristic:content,[127]
129,5cf942378da406000127871f,449.44,466.64,"Um I think I like her, like a couple of friends said that they had it, but they're like also arrived. There's one person that only know personally, but like she's part of like a community, like I'm a part of like an improv theater community she had it and she was in a coma.",0.0,13.699999999999989,0,False,False,59,heuristic:content,"[129, 133]"
137,5cf942378da406000127871f,467.74,469.45,teaching is on the man now.,0.0900000000000318,1.7099999999999795,0,False,False,6,heuristic:content,[137]
140,5de79e713cf27970edc23950,471.84,476.55,It's crazy. They're talking more about this inflammatory thing that the kids are getting.,0.079999999999984,4.710000000000036,0,False,False,16,heuristic:content,[140]
141,5cf942378da406000127871f,476.64,478.25,Oh my gosh!,0.0899999999999749,1.6100000000000136,0,False,False,3,heuristic:content,[141]
142,5de79e713cf27970edc23950,478.04,503.15,"Yeah. I have a 13 year old daughter and for the past few days she has been exhausted, headache, stomachache. So I'm like freaking out taking her temperature like every few hours. I know if I called her doctor they'd be like just bring her such assurances hospital. Like I know she's fine for now. You know what I mean? Like when you make that call, the medical people can't really do anything but tell you to go to the emergency room.",-0.2099999999999795,7.899999999999977,0,False,True,86,heuristic:content,"[142, 144, 146]"
148,5de79e713cf27970edc23950,504.14,513.55,"So I'm just watching her. If she winds up with a fever anything, I'll take her in. But crazy Kids are a 12 year old had a heart attack a few days ago.",0.2799999999999727,4.150000000000034,0,False,False,35,heuristic:content,"[148, 150]"
151,5cf942378da406000127871f,513.34,515.56,"Oh, there you go.",-0.2099999999999227,2.2199999999999136,0,False,True,4,heuristic:content,[151]
152,5de79e713cf27970edc23950,515.24,541.36,"Yeah, it's like they're finding these are kids that like, have had coronavirus and got over it with no symptoms and then a few weeks later their body has this inflammatory response and they're like, their blood vessels are getting inflamed there, there, haven't getting like, heart damage, heart attacks. Um Like their their feet, hands and feet are swelling up. It's so crazy.",-0.3199999999999363,6.419999999999959,0,False,True,69,heuristic:content,"[152, 154, 156, 158, 162]"
163,5cf942378da406000127871f,541.74,542.71,Oh man.,0.3799999999999954,0.9700000000000272,0,False,False,2,heuristic:short-content,[163]
166,5de79e713cf27970edc23950,542.87,551.76,"time they think they know about about what's going on, they don't still figuring it out, I guess.",-0.1799999999999499,5.590000000000032,0,False,True,20,heuristic:content,"[166, 168]"
169,5cf942378da406000127871f,551.44,565.36,That's the thing with respiratory diseases because I know there's like this broadway actor that was in a coma and then he lost a leg from curl now because just something you're breathing. It's all over the body.,-0.3199999999999363,10.229999999999905,0,False,True,42,heuristic:content,"[169, 173]"
174,5de79e713cf27970edc23950,565.74,570.35,"Yeah, I guess so. Mhm. Let her know. So you improv.",0.3799999999999954,3.220000000000028,0,False,False,11,heuristic:content,"[174, 176]"
177,5cf942378da406000127871f,571.24,572.86,"Yeah, I do improv",0.8899999999999864,1.6200000000000043,0,False,False,4,heuristic:content,[177]
