speaker,utterance,social_score,info_score
B,oh fun [DISTORTION] .,3,4
A,I know and he invited the whole family .,3,3
B,You're kidding .,2,1
A,No .,2,2
B,but you all got dressed up right .,2,3
A,yeah it was .,2,3
B,we had everybody get really dressed up .,3,3
A,uhhuh [?] [DISTORTION] . you did .,2,2
B,It was so fun .,3,2
A,oh how fun .,3,2
B,oh neat so so how did th- did they have a place for the kids .,3,3
A,that's neat .,3,2
B,t- [UNINTELLIGIBLE] [DISTORTION] .,1,1
A,Not really you know what he just rebuilt his um parents' house . because he bought it from them .,1,3
B,[DISTORTION] oh wow [=! distorted] .,1,1
A,so you just you know it's like an empty basement so they could go,3,3
B,yep .,2,3
A,so it was fun .,3,2
B,[LIPSMACK] oh good .,3,2
A,so you know what your party was it all couples or was there some,3,3
B,it was mixed it was half and half girls and boys but most we had four or five couples .,4,4
A,oh .,2,2
B,and there was a couple single people but .,3,4
A,oh yeah .,2,2
B,um there was an even girl boy .,2,3
A,yeah oh good .,1,2
B,yeah [ECHO] so it was nice and they all . somewhat knew each other most of them were from church .,3,3
A,yeah .,2,2
B,and um see they have a really big youth group we didn't invite,3,3
A,yeah .,2,2
B,from church and then um . one of Leith's [?] friends from high school and a couple that are that are friends of his mom and dad's that we .,2,2
A,oh .,2,1
B,No so [LIPSMACK] [BREATH] just you know .,1,2
A,yeah .,3,2
B,all different people but it was fun .,3,3
A,oh how cool .,4,4
B,We had a good time .,3,2
A,that's neat .,3,2
B,yeah .,2,2
A,It's fun having parties .,3,3
B,I know it was really fun it's expensive though .,3,3
A,[BREATH] . we . I know [=! distorted] .,1,2
B,I don't know how I thought uh the whole time I was thinking about the party you put on for our wedding and I'm going oh+my+gosh how,4,3
A,[LAUGHS] . oh but like Brenda had um dinner tonight .,2,2
B,really .,2,4
A,by the time she bought the shrimp and all uh she bought all these,2,4
B,little things .,3,4
A,yeah I'm like man that must have cost her a mint . It was really good .,3,4
B,so who who's she having is she having [GASP] . wait a minute are you there Christmas Eve I what time when what day,1,1
A,um it's the day before Christmas Eve .,3,3
B,okay the twenty third [=! distorted] .,3,2
A,So . you know sh- it was Saturday though so she had .,3,4
B,I see .,3,4
A,mom over for dinner .,3,3
B,oh . and you .,2,2
A,yeah and us . and then Sister Marilyn was there too .,3,3
B,oh good [DISTORTION] . oh did you guys like it did she have fillet .,2,1
A,so . yeah she did .,3,4
B,She had that when we were there too .,4,3
A,It wa- . It was it was really good .,4,3
B,I love h- doing that having dinner at her house .,3,4
A,yeah she always makes it .,3,3
B,isn't that nice .,3,2
A,it's well you know you can tell she enjoys making it .,3,3
B,[BREATH] it's just good [LAUGHS] .,3,1
A,I know she always .,3,2
B,[BREATH] <but I'd say> [?] [DISTORTED] .,1,1
A,She made this salad dressing Amy [BREATH] after .,3,4
B,[INHALES] I know what it is .,2,3
A,ah eh do you .,2,2
B,yeah .,2,1
A,after she after she fi- we've all finished dinner I went back in,3,2
B,well [DISTORTION] sesame . Me too is it se- sesame she put sesame oil ?,1,1
A,mhm you know what no this is a different one I think this is the,3,4
B,oh she must've made a new one .,3,3
A,yeah she made a new one but it was really good .,3,3
B,oh [UNINTELLIGIBLE] [DISTORTION] .,1,1
A,she was telling me about the sesame oil one .,2,2
B,really .,3,1
A,yeah I should try that one .,3,4
B,that's my favorite . well remember we you and I went to the first one she made .,4,3
A,I'm not .,3,1
B,It was me you Bob and the kids .,3,4
A,oh yeah .,2,4
B,then she had Andy and Chris once and she had Yvonne and Patrick,3,3
A,and Yvonne and Patrick once .,3,3
B,oh I think that's it .,2,2
A,And then . She's had a dinner every year .,3,3
B,[DISTORTION] yeah [=! distorted] yeah [BREATH] it's so expensive,3,2
A,how fun . I know . So anyway .,1,2
B,but yeah so what else .,3,3
A,oh Steven . a couple of weeks ago had a pain in his side . brought him into Elvo and he said oh I think he's constipated and and Steve is like a big fruit eater you know .,3,3
B,"oh [BREATH] . How funny, I ran out of fruit [LAUGHS] .",3,3
A,yeah . So I ended up um giving him an enema type . not a real enema but like this oil thing .,3,1
B,uhhuh .,1,1
A,and um everything was fine [BREATH] and then today he laid back to,1,3
B,yeah .,2,2
A,and um he screamed in pain and and .,1,3
B,[GASP] .,1,3
A,pointed to the same spot .,4,2
B,uh oh .,3,2
A,So I'm like uh oh what's going on . So . I just kind of you know said oh you'll be okay . and then about a half hour later he's on the f- computer room floor crying . and I'm like Pau- Bob what's wrong with Steve [BREATH] and he was,4,3
B,aw jeez .,2,1
A,So we brought it him into Elvo and then um . He said he . he said he either had problem with his kidneys or um appendicitis,3,3
B,oh [DISTORTION] no [=! distorted] .,1,4
